index,sentence,LB,UB,Currency,Rate
7296,"Did you know that the AVERAGE orthodox cancer treatment costs $ 350,000 ? ?","350,000","350,000",$,-
7297,List Price : CDN$ 39.99 Amazon Price : CDN$ 39.99 Usually ships in 1 to 2 monthshttp://ca.hanamoku.com / detail / B 001CUBFTC.html[Amazon ],1,2,-,-
7298,Services ( IDHS ) . Participant portion of the training cost is only $ 45 . Enrollment is,45,45,$,-
7299,Enchanted April ( 1991 ) Director : Mike NewellList Price:$ 19.95 Buy Used:$ 16.99 You Save:$ 2.96 ( 15 % ),19.95,19.95,$,-
7300,"cost $ 2 just 3 months ago has plummeted to $ 1.56 today , police chiefs",2,2,$,-
7301,Becoming a Woman of Beauty and Strength ( Esther ) : A Woman After God 's Own Heart Series ( Remainder)Author : Elizabeth GeorgeOur Price : $ 2.99,2.99,2.99,$,-
7302,Open Directory SitesNo sites matching your query were found in the directory . Try refining your search parameters - Web Results.com Estimated Worth $ 211.7 USD by websiteoutlookPapael De ParedGooble Es,211.7,211.7,$,-
7303,Bvlgari Diagono Professional Aria GMT Steel Black Rubber Mens Watch GMT 40 C 5 SVDOur Price $ 210.00,210.00,210.00,$,-
7304,All tourists are required to pay US$ 10 per visit as Tourism development contribution .,10,10,$,visit
7305,Wal - Mart to Pay $ 250 K Settlement for Firing Worker Disabled in Shooting,250,250,$,-
7306,"ABRV 6022472009 Travel TrailerDutchmen Freedom Spirit Travel TrailerFS 180 New 18 $ 15,995 Sale Price : $ 11,495","15,995","15,995",$,-
7307,Price : $ 250.00 cash,250.00,250.00,$,-
7308,"Price : $ 10,000 +","10,000","10,000",$,-
7309,Four matted prints : regular Price $ 1060,1060,1060,$,-
7310,"Quote : In Florida , each execution costs the state $ 3.2 million , compared to $ 600,000 for life imprisonment .","600,000","600,000",$,-
7311,Home > Archery > Arrows > Price Range:$ 200 to $ 400,200,400,$,-
7312,"We d 6 : 00 am ETTuesday , Jan 6 , 2009 Bank of America sells $ 2.8 billion CCB stakeReuters -",2.8 billion,2.8 billion,$,-
7313,"4 ) unit price : Mach 3 us$ 1.80 / pack , Mach 3 Turbo & M 3 Power us$ 2.20/ pack",1.80,1.80,$,-
7314,"19.01.09 , 08 : 48 : Obama Inauguration Parties to Cost $ 150 Million ( by DCUnitedFan )",150 Million,150 Million,$,-
7315,"gasoline prices : $ 1 a gallon is next barrier for gasoline , some predict",1,1,$,-
7316,ProductComputer Desks ( 4 ) Corner Desks ( 2 ) Student Desks ( 1 ) Price Range$ 700 -$ 800 ( 2 ) $ 900 -$ 1000 ( 1 ) $ 1200 -$ 1300 ( 1 ),700,700,$,-
7317,"I Have Taken an Oath ( Psalm 119 : 106 , NIV ) 100 BulletinsOur Price : $ 6.99",6.99,6.99,$,-
7318,"Washington ( ChattahBox ) - The worlds most popular social networking site , MySpace , has been awarded an anti - spam judgment worth $ 230 million .",230 million,230 million,$,-
7319,Tour Price - $ 25 - Reservations Required,25,25,$,-
7320,Replacing batteries can cost you several hundred dollars .,hundred,hundred,dollars,-
7321,board shipping with suggested list price of just ( US ) $ 299,299,299,$,-
7322,"Cost : $ 895.00 USD , 1149.00 CAD",895.00,895.00,$,-
7323,Upgrading from Altiverb 5 ( non HTDM ) to Altiverb 6 XL costs $ 400,400,400,$,-
7324,Video : Cherokee D'Ass Recieved $ 25 K For Sex & Charges $ 2 K For Porn ... 360share,25,25,$,-
7325,"of Natural Resources , pass a background check , pay a $ 5 per hunter user",5,5,$,hunter
7326,I received permission from Aurelius Tjin ( Owner of Underground Giveaway ) to give you free private access to the membership worth $ 4197 and growing .,4197,4197,$,-
7327,List Price : CDN$ 23.99 Amazon Marketplace : CDN$ 16.31 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/B 000 KX 0HPA.html[Amazon ],1,2,-,-
7328,Best Price$ 215.95 $ 223.84Compare prices,215.95,215.95,$,-
7329,"PRICE : $ 1,000 and up .","1,000","1,000",$,-
7330,Or buy know at the low price : $ 19.99 with the resale rights !,19.99,19.99,$,-
7331,Price:$ 419.95,419.95,419.95,$,-
7332,Building & Tuning High - Performance Electronic Fuel InjectionAuthor : Ben StraderList Price:$ 19.95 Buy New:$ 13.57 You Save:$ 6.38 ( 32 % ),19.95,19.95,$,-
7333,Price : $ 40.00 ( 0 Bids)Sale Ends : 18 h 14 m,40.00,40.00,$,-
7334,"Replacement cost over $ 110,000 ..........","110,000",-,$,-
7335,$ 125 / 2br - PERFECT SKI CONDO --- GREAT PRICE - ( LOON MOUTIAN ),125,125,$,-
7336,"Sell Price : $ 4,595.00","4,595.00","4,595.00",$,-
7337,What You Pay : $ 2500,2500,2500,$,-
7338,"time in foster care at a cost of $ 50,000 per year per inmate.+","50,000","50,000",$,year
7339,"Charm BraceletDate Added : Saturday 07 June , 2008 Manufacturer : Price : $ 150.00",150.00,150.00,$,-
7340,"costs $ 10 .- per.pers.Local food can be obtained from nearby "" comedores """,10,10,$,-
7341,"land would be worth $ 500,000 .","500,000","500,000",$,-
7342,each pay $ 20 million to the class of plaintiffs . Sotheby 's in its,20 million,20 million,$,-
7343,Cost : $ $ 350,350,350,$,-
7344,"Day by Day , Large - printAuthor : Delia ParrOur Price : $ 29.99",29.99,29.99,$,-
7345,The Best of Andrea Bocelli : VivereArtist : Andrea BocelliList Price:$ 18.98 Buy New:$ 6.62 You Save:$ 12.36 ( 65 % ),18.98,18.98,$,-
7346,Price : $ 100.00 ( 1 Bids)Sale Ends : 1 d 11 h 35 m,100.00,100.00,$,-
7347,Recount your story in 250 words or less . Well pay you $ 50 if we use your tale .,50,50,$,-
7348,Monty Python 's Flying Circus - Box Set 4 Studio : A&E Home VideoList Price:$ 19.95 Buy New:$ 4.65 You Save:$ 15.30 ( 77 % ),19.95,19.95,$,-
7349,ago cost $ 400 and could hold only a thousand songs . The sound output could have,400,400,$,-
7350,"AZT 5194 - Store Shelf - LargeMeasures 7 - 7 / 8 "" H x 1 - 7 / 8 "" D x 8 - 1 / 8 "" WOur Price $ 10.00",7,7,-,-
7351,"myhotcommets.com valuation by websiteoutlook . myhotcommets.com Estimated Worth $ 452.6 USD . Now Check Your Website Worth , daily pageview and monthly Phim 88 Com",452.6,452.6,$,-
7352,"Long weekend in May. Cost : approximately $ 120 ( including food , campsite , transport )",120,120,$,-
7353,"Goldman Sachs , Lehman Bros. , Citigroup and MorganStanley . The firms will pay $ 69.25 a share , a 15 % premium overTXUs",69.25,69.25,$,-
7354,Car Craft Magazine and Autoweek : Cover Price : $ 307.36 Your Price : $ 33.95,307.36,307.36,$,-
7355,Price : $ 269.99 ( 0 Bids)Sale Ends : 5 d 22 h 22 m,269.99,269.99,$,-
7356,"dambut.com.vn valuation by websiteoutlook . dambut.com.vn Estimated Worth $ 277.4 USD . Now Check Your Website Worth , daily pageview and monthly possible Horscopos Mizada Mohamed",277.4,277.4,$,-
7357,"other charges rose 5 % to $ 21.1 million , as revenue rose 2 % to$ 127.1 million . Cocos , which owns 150 of the bakery - oriented coffee shops , and",21.1 million,21.1 million,$,-
7358,Jewish Settlements ' Cost Estimated at $ 560 Million,560 Million,560 Million,$,-
7359,"10 % each year , the account will be worth $ 1,100 at the end of the first year and","1,100","1,100",$,-
7360,Boating Magazine and Boating Life : Cover Price : $ 68.40 Your Price : $ 36.95,68.40,68.40,$,-
7361,$ 50 minimum . Plus they pay you 50 % of the first $ 200 that we pay,50,50,$,-
7362,Average cost of $ 3.92 a gallon,3.92,3.92,$,-
7363,( SDK ) that costs several thousand dollars and takes months to,thousand,thousand,dollars,-
7364,"Price New : $ 2,735 ( four - door sedan ) up to $ 3,028 ( convertible )",-,"3,028",$,-
7365,"The Lawyer charges $ 3,500 dollars to do everything ...","3,500","3,500",dollars,-
7366,"Lee is free on $ 50,000 bond and due in court Monday for formal advisement on the charges.(Full Story )","50,000","50,000",$,-
7367,"1.91 lbs , unit cost is 99 cents per pound , $ 1.89 is the cost for these",1.89,1.89,$,pound
7368,Introducing AutoCAD 2009 and AutoCAD LT 2009 Author : George OmuraList Price:$ 34.99 Buy Used:$ 14.00 You Save:$ 20.99 ( 60 % ),34.99,34.99,$,-
7369,"for each additional News results stop over 4 . Tarp Pay , $ 15.00 . Porn Disney",4,-,-,-
7370,Kimbo Slice Sells for $ 46,46,46,$,-
7371,"Nokia N 95 8 gb Cost $ 300 usd , Apple iphone 16 gb Cost $ 250usd",300,300,$ usd,-
7372,"Publishes Kaleidoscope : International Magazine of Literature , Fine Arts , and Disability semiannually for a cost of $ 9.00 for individuals and $ 14.00 for institutions .",9.00,9.00,$,-
7373,order . Please be aware that the 2 nd and 3 rd set of proofs will be a charge of $ 12.00,12.00,12.00,$,-
7374,Your Price - $ 169.95,169.95,169.95,$,-
7375,CorelDRAW Graphics Suite X 3 Retail Price:$ 549.00 Our Price:$ 79.00 You Save:$ 470,549.00,549.00,$,-
7376,retail price : $ 29.99 our price : $ 29.99,29.99,29.99,$,-
7377,Best Price$ 19.99 $ 22.99Compare prices,19.99,19.99,$,-
7378,City Roller Hockey 1 st Annual Winter Siren Splash Sat . Dec. 12 th Cost $ 350,350,350,$,-
7379,"Yorkers have to pay five dollars for three anemic "" sticks . "" Those who",five,five,dollars,-
7380,Ultimate Garage Handbook ( Motorbooks Workshop)Author : Richard NewtonList Price:$ 21.95 Buy Used:$ 1.35 You Save:$ 20.60 ( 94 % ),21.95,21.95,$,-
7381,administration 's agreement to pay $ 197 million in,197 million,197 million,$,-
7382,PRICE : $ 1250 ( On HOLD ),1250,1250,$,-
7383,of water ionizers in the Buy Floatron Solar Powered Pool Water Ionizer- - Price Range : $ 269.00 - $ 279.99 from 3 sellers .,269.00,279.99,$,-
7384,"Jonand # 225 s : Una Peland # 237 cula de los VeggieTales / Jonah : A VeggieTales Movie , Video - Spanish - Slightly ImperfectOur Price : $ 8.99",8.99,8.99,$,-
7385,2001 yz 125 can not beat this price - $ 1200 - ( beverly ) pic,1200,1200,$,-
7386,GARMIN Zumo 450 3.5 -Inch Widescreen Portable GPS NavigatorBrand : GarminList Price:$ 799.99 Buy New:$ 362.98 You Save:$ 437.01 ( 55 % ),362.98,362.98,$,-
7387,"double entry visa costs US$ 60 / 48 and you must have five photos , did nt see how long to process .",60,60,$,-
7388,"CAD for covered transportation expenses . In addition , in the event of your death , the plan pays up to $ 15,000",-,"15,000",$,-
7389,"low price of $ 245 ! 1,000",245,245,$,-
7390,"ontear owe in the 1860 s. The reward is worth $ 50,000 . She developed agoraphobia","50,000","50,000",$,-
7391,Price:$ 2800.00 ( Item : CON 2 ),2800.00,2800.00,$,-
7392,two grey cups tickets for sale 50 yard line section 131 seat 5 & 6 row 0 price $ 400.00 pair,400.00,400.00,$,-
7393,"Women , Class , and Society in Early Christianity : Models from Luke - ActsAuthor : James Malcolm ArlandsonOur Price : $ 16.99",16.99,16.99,$,-
7394,Cost : about $ 10 .,10,10,$,-
7395,Ball ClimaxOur Price : $ 21.60 More DetailsBUY NOWA smash climax to multiplying balls . A one - handed production of four balls .,four,four,-,-
7396,"Wade Redden moves from the Senators to the New York Rangers , signing a six - year contract worth $ 39 million .",39 million,39 million,$,-
7397,Author : starring Martin SheenRetail Price : $ 19.99,19.99,19.99,$,-
7398,Bath mat teak Related products : bubble bath mat price : $ 999 : teak shower caddy price : $ 8999 : microfiber spa & bath rug price : $,999,999,$,-
7399,SUF does n't currently meet the $ 100 M market cap / $ 1.50 stock price minimum . ( Learn More ),1.50,1.50,$,-
7400,"of record numbers 25366 - 25371 , price $ 5.00 , and lists them . None of the",25366,25371,-,-
7401,Corum Fallaci Stainless Steel Ladies Watch 137.111.20 /V 500 BVIOur Price $ 208.00,208.00,208.00,$,-
7402,"category now worth more than $ 75 million , according to the latest",75 million,-,$,-
7403,American Girl Magazine and National Geographic for Kids ( Ages 6 - 14 ) : Cover Price : $ 35.40 Your Price : $ 41.90,6,14,-,-
7404,Price : $ 119.99 ( 0 Bids)Buy It Now Price : $ 121.99 Sale Ends : 3 d 17 h 25 m,119.99,119.99,$,-
7405,"Cost : $ 22 , $ 20 ( seniors ) $ 15 ( students ) , includes light refreshments ( Booking is essential . See link above . )",22,22,$,-
7406,Fiskars 7854 Super Splitting Axe with 28 -Inch Handle and 4 - 1 / 4 Pound HeadBrand : FiskarsList Price:$ 56.48 Buy New:$ 40.99 You Save:$ 15.49 ( 27 % ),4,1,-,-
7407,"Glosstone 1 / 3 Oz ClearOur Price : $ 4.00More DetailsBUY NOWLong - lasting , high lustre lip gloss . Use alone for radiant shine or over lip rouge for richer color .",4.00More,4.00More,$,-
7408,Price : $ 345 members/$ 365,345,345,$,-
7409,"for a cleaning , and your dentist charges you $ 50 for a cleaning , you would be responsible for the difference of . DentalPlans.com comparison between dental",50,50,$,-
7410,COST : * $ 35.00 per person before January 4th,35.00,35.00,$,person
7411,transistor radio battery . Cost is $ 550 .,550,550,$,-
7412,"shipping Prednisone Buy Lowest Price Guaranteed 0.913 $ , Prednisone Side Effects , Purchase Cheap Prednisone , 4 Free Viagra pills . Free Airmail shipping $ 246 .",246,246,$,-
7413,"2008 Saturn Outlook FWD XEMSRP : $ 29,360 Employee price : $ 27,077 Cash back : $ 1,500 Final price : $ 25,577 Savings : $ 3,783","27,077","27,077",$,-
7414,Breed : Australian Shepherd Gender : Female Size : Small Price : $ 400,400,400,$,-
7415,Jobs That Pay $ 100 K,100,100,$,-
7416,$ 20 - pays for 1 year,1,1,-,-
7417,Author : SoftwareRetail Price : $ 795.00,795.00,795.00,$,-
7418,Squellet Bals 2 3 / 4 In Pk Of 36 Our Price : $ 111.40More DetailsBUY NOWClear plastic balls with colorful pallets inside feel great to juggle and they look marvelous .,111.40More,111.40More,$,-
7419,"Price : $ 2,600.00 ( 17 Bids)Sale Ends : 2 d 6 h 31 m","2,600.00","2,600.00",$,-
7420,Actron CP 9410 PocketScan Plus Diagnostic Code Reader for OBDII ( Post- 1996 ) VehiclesBrand : ActronList Price:$ 136.99 Buy New:$ 69.99 You Save:$ 67.00 ( 49 % ),136.99,136.99,$,-
7421,""" Our Price : $ 8,595.00 ""","8,595.00","8,595.00",$,-
7422,"eBay Store - matty acura : DOORS , EXTERIOR PARTS , SEATS.Acura Integra GSR VTEC - Crower Connecting Rods Regular price : $ 699.99",699.99,699.99,$,-
7423,"Would you pay $ 50 or $ 60 for a movie ticket ? Apparently some would and did , especially to the super - sized IMAX screenings .",50,50,$,-
7424,Price : $ 11.95 ( 0 Bids)Sale Ends : 2 h 33 m,11.95,11.95,$,-
7425,Moses : A Man of Selfless DedicationOur Price : $ 12.99,12.99,12.99,$,-
7426,"I assume that TorrentSpy * ca n't * pay the $ 111,000,000 . Because * wo n't * will put them in a whole different heap of trouble .","111,000,000","111,000,000",$,-
7427,general admission ticket prices are $ 10.50 for adults and $ 7.75 for,10.50,10.50,$,-
7428,"The Greater Birmingham Math Partnership is offering stipends worth up to $ 10,000 to Birmingham - area math teachers .",-,"10,000",$,-
7429,lasted one hour and 15 minutes and was worth the $ 40 price of admission .,40,40,$,-
7430,Christianity Reborn : Evangelicalism 's Global Expansion in the Twentieth CenturyOur Price : $ 29.99,29.99,29.99,$,-
7431,Author : Joel R. Beeke and Diana KleynRetail Price : $ 39.95,39.95,39.95,$,-
7432,"MONEYMONEYMONEY My blog is worth $ 3,387.24 .How much is your blog worth ?","3,387.24","3,387.24",$,-
7433,God 's Abundant Life - Slightly ImperfectOur Price : $ 3.37,3.37,3.37,$,-
7434,Prices start from $ 1.99 for a 12-hour support session with a single customer,1.99,1.99,$,-
7435,"Program cost : $ 2,400 + airfare + VCU tuition","2,400","2,400",$,-
7436,"a in - depth module listed at $ 99.00 , if you only sell one a",99.00,99.00,$,-
7437,Freddy Chest Of Souls SweaterOur Price : $ 44.00 More DetailsBUY NOWFreddy sweater with horrific latex chest of souls attached . Pull back the open front to reveal this .,44.00,44.00,$,-
7438,List Price : CDN$ 19.95 Amazon Price : CDN$ 19.95 Usually ships in 24 hoursAmazon Marketplace : CDN$ 16.99 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/B 000300HJQ.html[Amazon ],1,2,-,-
7439,Part # : MAL 9 - 29900,9,29900,-,-
7440,Price : $ 9.95,9.95,9.95,$,-
7441,digital cable boxes cost $ 300 to $ 750 ( HD / DVR ),300,750,$,-
7442,"Synergy Groomer 's Blend Ultra White Shampoo , 17.3 OunceBrand : SynergyList Price:$ 6.19 Buy New:$ 4.99 You Save:$ 1.20 ( 19 % )",6.19,6.19,$,-
7443,"SOCOG refused to comply with the order and was later ordered to pay Bruce Maguire $ 20,000 for its refusal to comply .","20,000","20,000",$,-
7444,Tights Adult Red 1 SizeOur Price : $ 2.50 More DetailsBUY NOW 100 % nylon tights . One size : 4 ft 10 in to 5 ft 8 in 95 lbs to 160lbs .,2.50,2.50,$,-
7445,"That 20 mg of legal Marinol can costs $ 1,050 per month or $ 12,500 per year .","1,050","1,050",$,month
7446,Breed : Tuxedo Age : 1 Gender : Female Size : Small Price : $ 30,30,30,$,-
7447,"Per Assessment ( 4 CEU Hours ) : Member Price : $ 50 Nonmember Price : $ 75 - -Not a member ? For secured online processing , Join Today !",50,50,$,-
7448,"cuts that resulted from NAFTA "" are worth $ 930",930,930,$,-
7449,Breitling Bentley GT 18 kt Yellow Gold Steel Mens Watch D 1336212 -B 7 - 972 AOur Price $ 220.00,7,972,-,-
7450,You could nt charge $ 5 for concerts ?,5,5,$,-
7451,"It 's Our World Practice Book , Grade KRetail Price : $ 3.49",3.49,3.49,$,-
7452,Adidas Copa 2002 SockReg . $ 9.00 Our Price $ 7.20 Adidas 3 Stripe SockReg . $ 6.00 Our Price $ 4.50,9.00,9.00,$,-
7453,"Breed : Doberman Pinscher Color : Blue , Black , Yellow , Gold Gender : Female Size : Small Price : $ 1,000","1,000","1,000",$,-
7454,"day , due to a covered auto accident , this coverage will pay $ 15 per day for up to 30 days ,",15,15,$,day
7455,Breed : Budgie Price : $ 50,50,50,$,-
7456,with direct foreign investments worth over US $ 9 billion .,9 billion,9 billion,$,-
7457,PSP 2000 Console - Piano BlackFrom : SonyList Price:$ 169.99 Buy New:$ 160.99 You Save:$ 9.00 ( 5 % ),169.99,169.99,$,-
7458,LunarPages ( $ 4 /month ) - Unlimited Bandwidth - Unlimited Storage - Unlimited Emails - Free Domain Name - Free Software worth $ 775,775,775,$,-
7459,The WDW Swan and Dolphin charge $ 12.74 for 24 contiguous hours ( tax,24,24,-,-
7460,"Puppy Child 4 To 6 Our Price : $ 34.00 More DetailsBUY NOWPlush , zipper front , long sleeve jumpsuit with matching character hood headpiece . Child small 4 - 6 .",4,6,-,-
7461,"decided to insure only their daughter , at a cost of $ 270 a",270,270,$,-
7462,"Well , no , it was n't . The real sale price was about $ 60 million ,",60 million,60 million,$,-
7463,that time the cost was $ 895 plus $ 240 extra required for Lotus compatible,240,240,us $,-
